symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
SOLUSDT,LONG,5m,WIN,42,SKIP,44.3133855147,82.2971308435,82.0998454454,neutral,,82.29,82.29,83.52435000000001,81.4671,82.61,0.39,2026-05-29 10:10:04,RSI neutral-niedrig (44)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,⚠️ 2 HIGH-Impact News aktiv|Preis zu nah an EMA 200 (0.23%) – Ausschluss v2.0
FETUSDT,LONG,5m,WIN,36,SKIP,40.4142574174,0.2418202231,0.2374845916,bearish,,0.2396,0.2396,0.24319400000000002,0.237204,0.2437,1.71,2026-05-29 10:25:04,"RSI neutral-niedrig (40)|EMA bullish (EMA50>EMA200, Dist 0.9%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",⚠️ 2 HIGH-Impact News aktiv|Trend BEARISH – gegen LONG
XRPUSDT,LONG,5m,WIN,50,SCHWACH,38.6786621728,1.3199414881,1.3153233664,neutral,,1.3188,1.3188,1.338582,1.305612,1.3232,0.33,2026-05-29 10:35:05,RSI niedrig (39) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,⚠️ 2 HIGH-Impact News aktiv|Preis zu nah an EMA 200 (0.26%) – Ausschluss v2.0
SOLUSDT,LONG,5m,WIN,50,SCHWACH,37.8710738766,82.2789746089,82.1083781628,neutral,,82.15,82.15,83.38225,81.3285,82.61,0.56,2026-05-29 10:45:06,RSI niedrig (38) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,⚠️ 2 HIGH-Impact News aktiv|Preis zu nah an EMA 200 (0.05%) – Ausschluss v2.0
BTCUSDT,LONG,5m,WIN,42,SKIP,44.628385838,73693.0819403167,73619.1348131951,neutral,,73651.47,73651.47,74756.24205,72914.9553,73804.01,0.21,2026-05-29 10:50:03,RSI neutral-niedrig (45)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,⚠️ 2 HIGH-Impact News aktiv|Preis zu nah an EMA 200 (0.04%) – Ausschluss v2.0
FETUSDT,LONG,5m,WIN,36,SKIP,41.3998293861,0.2413147773,0.2376381393,bearish,,0.2393,0.2393,0.2428895,0.236907,0.2437,1.84,2026-05-29 11:00:11,"RSI neutral-niedrig (41)|EMA bullish (EMA50>EMA200, Dist 0.7%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",⚠️ 2 HIGH-Impact News aktiv|Trend BEARISH – gegen LONG
XRPUSDT,LONG,5m,WIN,70,OKAY,35.2669528979,1.3195574403,1.3155323016,neutral,,1.3169,1.3169,1.3366535,1.303731,1.3232,0.48,2026-05-29 11:10:04,RSI niedrig (35) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.10%) – Ausschluss v2.0
SOLUSDT,LONG,5m,WIN,62,OKAY,42.640536841,82.2414368875,82.1096142959,neutral,,82.15,82.15,83.38225,81.3285,82.61,0.56,2026-05-29 11:20:06,RSI neutral-niedrig (43)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.05%) – Ausschluss v2.0
RENDERUSDT,LONG,5m,WIN,70,OKAY,37.8163927406,2.0613871646,2.0386778847,neutral,,2.043,2.043,2.073645,2.02257,2.048,0.24,2026-05-29 11:35:04,RSI niedrig (38) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.21%) – Ausschluss v2.0
XAUTUSDT,LONG,5m,WIN,62,OKAY,43.0012199907,4509.0621969029,4489.9177144767,neutral,,4509,4509,4576.635,4463.91,4546.67,0.84,2026-05-29 11:35:04,RSI neutral-niedrig (43)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.43%) – Ausschluss v2.0
