date,symbol,direction,outcome,score,rsi,pnl_pct,time
2026-06-11,VIRTUALUSDT,SHORT,LOSS,90,70.2138704143,-1,2026-06-11 00:20:08
2026-06-11,SUIUSDT,SHORT,LOSS,81,71.2299836984,-1,2026-06-11 00:20:09
2026-06-11,RIVERUSDT,LONG,LOSS,79,38.9506064685,-1,2026-06-11 05:05:40
2026-06-11,XRPUSDT,LONG,WIN,75,39.1694762539,0.76,2026-06-11 07:40:04
2026-06-11,SOLUSDT,LONG,WIN,84,36.6686345303,1.5,2026-06-11 07:40:06
2026-06-11,SUIUSDT,LONG,WIN,84,37.6696995803,0.91,2026-06-11 07:40:06
2026-06-11,SUIUSDT,LONG,WIN,76,43.4236378953,0.27,2026-06-11 09:10:07
2026-06-11,VIRTUALUSDT,LONG,WIN,100,40.0666971112,0.09,2026-06-11 09:15:15
2026-06-11,SOLUSDT,LONG,WIN,86,44.0220102305,0.31,2026-06-11 09:20:08
2026-06-11,XRPUSDT,LONG,WIN,77,44.0330344248,2.1,2026-06-11 09:25:04
2026-06-11,RENDERUSDT,LONG,WIN,79,44.0347333154,1.96,2026-06-11 09:25:10
2026-06-11,SUIUSDT,LONG,WIN,76,42.8215495763,0.41,2026-06-11 09:45:06
2026-06-11,XRPUSDT,LONG,WIN,77,44.6571033907,2.09,2026-06-11 10:00:13
2026-06-11,RENDERUSDT,LONG,WIN,79,38.5080436623,2.09,2026-06-11 11:40:06
2026-06-11,SOLUSDT,LONG,WIN,77,40.7412279776,1.5,2026-06-11 14:15:09
